title,review,score
"Patchy service at times, but good customer service makes all the difference","A telco with good customer service? I didn't think it was possible, but as a smartphone enthusiast and someone who (mostly) knows what they're doing, Vodafone staff have been excellent. Every person I've spoken to is really nice and knows what they're doing, and very transparent with the customer. You can even still call Vodafone instead of chat, and get through to an awesome member of staff with little wait time.lans is the same as Optus, which, for the most part, has better reception in more places and a larger 5G network.

I haven't had any billing issues yet unlike Telstra, and unlike both Optus and Telstra you'll get the same (usually correct!) answer from any staff member.

I really hope the merger with TPG doesn't erode all the good things Vodafone has worked on up to this point.",4
Absolutely useless call centre. Can't actually make any changes to account without going into the building,"I called up today (on my registered Vodafone number) to enquire about upgrading my phone plan. I don't know my personal pin that was set more than 2 years ago. So, I had to verify my identity, I then proceeded to verify it but it was declined as they have my old address on file. I explained this then they wouldn't let me try and verify again.I had two options use there online verification tool that takes two days or head into a busy supermarket to risk COVID.I then tried the online verification tool only to have a text back saying my verification wasn't verified. Not impressed at all. I am paying for a service and can't even access my account to make changes. Everyday this goes on I'm paying more than I should be and can't cancel my account.",1
0 stars if I could,"Vodafone has been by far the absolute worst NBN provider out of the lot. Their service is complete and utter RUBBISH! Speeds are no where near quoted, even in non peak times with continual drop outs. As we speak I'm on my second day of complete no service. The 4G modem is also the biggest POS, it self resets every 15 minutes when it's on 4G (by design according to Vodafone tech support) that's if you can even get it to work in the 4G backup mode in the first place. Please your own sanity AVOID LIKE THE CORONAVIRUS!",1
Vodafone Sales team divulge our confidential information to third party for fraudulently purchase phone under our name.,"On 20th January 2021 I called Vodafone sales team to upgrade my phone in to new iPhone Max 256 GB phone and I havenâ€™t not processed because I havenâ€™t got better deal.On the same day at 6.08 pm I got a phone call from 02 9052 4954 saying with regards to the phone inquiry I had with Vodafone they wish to better deal that with new phone I need to pay only A$91.08 and without any payment for my existing handset.set and they said yes, they can see the order in the system. Then I asked the monthly payments and the existing handset payments waive off. They too confirm thatâ€™s was right. Then I said them I didnâ€™t Proceed the order and asked them to check the delivery address. Ten they inform incorrect address. Then I asked them whether they can cancel the order and the guy who originally called me informed me he would call me back to proceed with the order. So I said I would take this with the person who originally called me.So he called me back again and told me the address corrected and sent me the confirmation saying exiting phone payment waived and only pay for new phone set  and the phone bil.
As I had so many problem during last 8 year with Vodafone when buying new phone as they never give the discount what they agreed when buying phone,I called them in the morning. Again they said what in the order correct but delivery address was wrong.then I said to correct and a lady who call not to worry and the delivery address would correct and gave me a reference no.But I was still not sure and then I called Vodafone accounts and checked.then thre were the one informed me that I need to pay my old phone balance and some one has fraudulently put the order by online by accessing my detail and as the phone already ordered although the phone was still not dispatched they need Police report to investigate.
Actually Vodafone sales team divulge our confidential information for the fraudulent activities for the others.",1
Excellent customer service,I was having problems with another service provide and went to a Vodafone store to see what they offer.  The customer supervise was excellent and the solutions they provided are exactly what I needed.  You actually speak to real people unlike another service provider that keeps getting me diverted to automated systems that donâ€™t work.,5
Renegged on their contract,"I took out a post paid plan with vodafone called sim only plan which gave you $7 discount each month. To be eligible for this, you had to lock in 24 month. This plan worked well for me though coverage not so great all the time. Now vodafone has renegged on their conditions saying I have lost $5 of the origin credit as I have changed plans. I cannot change my plan as I agreed to the lock in of 24 months to get it but I am now expected to pay $28 for the remaining 8 months of the agreed 24 months. Can they legally brake their side of a contract. This is disgusting behaviour and I will be visiting their stores as one cannot communicate their dispair and frustration by talking to customer service when they don't speak clear English. DO NOT GO WITH VODAFONE.",1
The never ending story,"An excerpt from my email to the wonderfully excessively unhelpful Vodafone. Please note that I managed to write all of that without the use of one swear word.go to my local store and get one. 

I made my way to the Ocean Keys shopping Centre in Clarkson where they told me I was silly for ordering on line, that nothing done online ever works properly and I should always come in store if I need anything. They provided me with a SIM but could not get it to activate and after several calls to Vodafone they said it should be on in about half an hour. The following day I returned to the store as it wasn't working and was told they couldn't help me I would need to call Vodafone myself (so much for always going to them).  A week later and numerous calls and messages and finally I got my phone connected. We're off to a bumpy start. 

Then horror of horrors - there's a recall.  As directed I went to my local store  (the same incompetent people listed above). Was told that wasn't a problem and to perform a factory reset as I had already backed up my data. When the reset was complete I was then informed that because it was purchased online they couldn't help me as they couldn't access proof of purchase and that now that I don't have a phone I need to drive for 20mins to the nearest major shopping centre to go to the Samsung store there as they would have records and could do the swap. 

I did as instructed.  Was told by the lovely people at Samsung that that wouldn't be a problem and to take a seat and someone could arrange that for me in about 10mins. 30mins later a gentleman tells me that they can't do that there and that he would walk me to the Joondalup Vodafone Store where it wouldn't be a problem as they would be able to sort it out. Steam is starting to come from my ears at this point.

",1
Treat like a stupid...,"I got my plan updated last month and they ask me to update my phone as well and I ask. For iPhone 7 . They just said yeah yeah , u will really enjoy this plan . Nothing comes out , didn't give me any tracking I'd for my iPhone 7 that I had ordered , just making me fool that they just want to add up in Their bills,  raised that one to $176.00.  I called 9 times to customer care and they all ignore me, careless staff , no importance of customers . It's better to get Telestra or Optus as they have good staff response and value then these frauds.Going to cancel all plans .",1
STAY AWAY - choose another provider,"Dreadful customer service.  Appalling.  Have been a Vodafone customer since 1998 - 18 years.  Have my whole family on their network with a range of products, stuck with them even during their dodgy network coverage, and this year have experienced the WORST customer service and product downgrades.  Having just returned a dodgie iPhone for the second time in a month (1st time touch screen not working took four weeks to get new handset, 2nd time internal battery gone on replacement iPhone only two weeks old) - with no loan phone available.  It was killing us then the store person today basically accused us of mistreating the phones. There isn't a scratch on them.  STAY AWAY.  CHOOSE ANOTHER PHONE PROVIDER.  We have tried everything for them to be reasonable - even if they provided us a cheap (working) loan phone we'd be happy - but no.  The only thing we can do is vote with our feet and take our $4000 a year of business elsewhere.",1
"Horrific reception, and customer service","If I could go lower than one star I would. Avoid Vodafone at all costs, they are 100 percent a scam company. I called to cancel my service due to poor reception. I mean my friend was getting 3 bars at my house while I was getting sos only and this was in a fair sized town near Brisbane! The Vodafone rep begged and pleaded with me to stay, saying they had scheduled work in the area just that night. This work was apparently ""guaranteed to fix my reception issue"". Bull! They wanted another month of billing because it was supposed to reset tomorrow. So I canceled everything and I repeated to them that I didn't want the number and I didn't want to have Vodafone service any more. I finished the call thinking the cancellation was complete and done with. Like many other people sometimes I don't check my bills online, 3 months down the line I notice i am still getting charged by Vodafone 52 dollars each month! I called them and demanded my money back, but denied it completely! They said that I was supposed to call back and have the number changed over to the other provider but I had specifically stated I didn't want the number any more. They made up lies and said that I had been using data on my Vodafone account each month, which is a load of rubbish. AVOID THIS COMPANY AT ALL COSTS! You have been warned!",1
Dreadful Service,"I have a story that begins with such a little problem but ended up with such frustration that I will not be coming back to Vodafone despite being a loyal customer for more than a decade.Let's start with the little problem. I was trying to send a text to a competition 19 number. I'd done it plenty of times in the past but all of a sudden it wouldn't go through and after repeat tries...no luck.I reported it to Vodafone's customer service. To cut a long long story short. After a number of calls they said I needed to go to a Vodafone shop. They also said if there was a problem with the phone I would need to pay a $200 deposit to get a loan phone.
My complaint: The customer service line seems to be an internet line and the quality was poor (good for a Telco haha). Couple this with people that don't speak clear English and frustrations rise. The hide of these people to fob me off to a store AND probably pay a deposit for something that is totally not my fault. Can't wait till my contract is over!!! Crazy how a little thing that could have been so easily solved has lost them a customer. Join me, let's get rid of Vodafone.",1
Afrian call coverage,Thanks vodafone for painting Africa Grey in your International calls coverage. The millions of African people love it in Grey. It looks pretty,1
Overbilling,"Have signed a contract with Vodafone for almost 2 years now and they provide the decent data reception. Although, I have been charged $10 additional to my usual bill of $87 every month which is ridiculous considering I check everyday for my remaining data, turning it off whenever it reaches 200mb or less. The remaining data level in the Vodafone app is completely unreliable, updating itself every 24 hours and the alternative method of checking through texting 1315 always states a false number causing you to go over your real limit. I will never a contract with them again and would rather go with virgin mobile.",2
Unlimited calls India,I am not happy from Vodafone because they are not giving unlimited international calls that's why I m going for boost because they are giving unlimited international calls with 40$If Vodafone can give me unlimited calls to international I can keep Vodafone,2
The worst customer service and team!!!,"Finished my contract with them 2012, and spoked with the customer care, and explained to them we moving the house that Vodafone can't reach the signal. I closed contract just in time finished my contract with Vodafone as well like 24 months contract. Anyway they keep trying me stay with them, and tried gives me an offer best price, got transfer to they manager in charge on that time. And I explained it to manager why I'm not going to continue with them and suddenly I heard he (manager) was  yawning while I Still talking to him. and he keep talking bla bla I don't understand what he saying and he said thank you already had experienced with Vodafone and he hung up the phone.

And now 2016 bad faults credit history and I checked it was from Vodafone. So I rang the customer service again today Wednesday 2 November at 5:26 pm. Try look my history number with them it's said I still have balance with them over $1000. Its sucks because you have to pay to get a rid the bad credit history report and you can do anything with it and the customer service also really bad experience, and I can hear the background laughing like all the team having picnic at work with foreign language (Indian) I don't meant racist but it's sounds like Vodafone never gives good training for the staff. And the one who's talking with me the tone of her like want to quickly finish the conversation sound like rushing with the accent that I can pick up barely the word by words what she saying. And i gives up had 40 minutes on the phone mostly I'm just waiting she put it on hold. It's really bad experienced for me. I think Vodafone need selective their staff. Not just looking for cheap staff or low pay rate to keep it going theirs business. So stay away from this provider",1
Poor Customer Service.,"Used to have a number of plans with this teleco. Including 2 mobiles and 1 mobile broadband wifi a/c after fullfilling 2nd 2 year contract with mobiles they failed to offer anything else which was even close to the current plans we had- so we went elsewhere, this left us with just our mobile broadband and after switching to the NBN - as vodafone doesn't offer and NBN plans, cancelled our broadband with them- so I thought but received a bill 8 weeks later!!! For the billing period after the one I had cancelled!   They simply refused to admit it was their fault and best they could do was 'reduce' the bill, needless to say that the account was inactive for 2 months! Pretty disappointed! And unprofessional for such a large company! Gee Vodafone pick up your act- plenty more telecos out there that are willing to look after their customers!",2
Treated like an idiot,"I was with Vodafone for years - since I had my first mobile, up until last year. I travelled to Melbourne and the area had poor reception 3g and 4g, which is fine not all areas can be fantastic I understood that. But then one morning my phone started going crazy at 5am with exceed data messages. You have almost hit your limit, 5 minutes later you have reached your limit. Within an hour from the first message I got the final one saying I had used over 20gb. I didn't have wifi/hot spot on and the only thing it was connected to was a charger. I rang up to ask what was going on, he decided since I was too risky he would shut down my account leaving me with no way of contacting anyone. Had to ring back on my sisters phone, was told I must have been streaming music, 20gb is ALOT of music, I said that was a joke, reception is bad in the area, if its hard enough to make a phone call how could I possible stream 20gb of music. My phone was turned back on for calls only. I rang again and said they didn't turn my data on I was told there was work happening in the area no one had data. Was trying to use my phone for a gps the next day and it still didn't work, rang back up and was told my data was deactivated because I was refusing to pay. Finally got a hold of a decent customer service officer who looked at my previous history of 2gb a month barely, said it was strange gave me a case number and told me to head into a shop who checked the data history on my phone and found nothing. Finally had data restored but then got the bill for the month and it hadn't been fixed up on there. Rang back, was treated like an idiot by customer service who just kept telling me to learn how computers and data works so I can avoid this issue in the future. Only way I got them to fix it was by threatening to go to the ombudsman.

I now use Optus. 8gb and unlimited calls for half the price of Vodafone.

I still think they way they calculate data is completely wrong and people should be wary of additional data charges because I doubt Im the only one",1
Iphone 7 plus,"The worst service provider in terms of rewarding you with the loyalty. The customer service specially one those offer phone on plans, they took the whole day to give me best deal but at the end of day after 8 hours of hassle came with the plan that sounded liked wow....but in real fact I was paying more than the initial deal. Very unethical and unprofessional customer service provider just thinking of their sales, don't care about customer and their line managers are more ridiculous in terms of the way they deal.",1
Southland Shopping Centre Pityful,"Never buy a phone from this store. Rude, Ignorant, could not care less. Happy to take your money but totally disgusted with there after sale service.",1
Bad signal,"Very bad signal.from my train station(Carlton) up to (Bondi) i can get more then one bar, five years now. I think it's  time to update there network.",3
I can't recommend my friend and whoever to take Vodafone service which is not good quality service,"Now i have Vodafone postpaid plan and i am going to cancel my plan soon. If i need to data, it will not work.",1
don't join with vodafone!!!!,"Overcharged $1900 for their mistake. Asked to cancel the data for my iPad over a year ago since I was not using it, however they havent canceled it and i was continued to be charged. It has now accumulated to over $1900 and without warning, no letters or emails. I just receieved a call from debt collecters explaining to me that i have an unpaid bill from vodafone. Now me, my partner, and both our families are canceling out memberships with vodafone, or not renewing our contrats with them when theyve ended. Youve lost 20 members for life for unethical business. I shouldnt have to pay for your mistake.",1
Monthly SIM only plan for International calls,"I couldn't be happier with what Vodafone has offered me in last 1 year. A few good things:
I am in no way affiliated with Vodafone and am not getting any kind of reward for writing this review. I am just too satisfied a customer to not highlight what they are doing good. May they continue adopting better practices.",5
Galaxy s7 edge fire risk,Vodafone won't guarantee reliability of phone and ignore the fact that these phone's worldwide are exploding!! I have lost faith totally in product and service.,1
iPhone 7 Plus,"I previously finished by contract with Vodafone so I decided to upgrade to the new iPhone 7 plus. I was told that there would be a 4-6 week wait for the phone which I was happy to wait for. Then I get an email a week after I placed my order from Vodafone and they say the estimated delivery date is 'December 7th'. This is actually 9-10 weeks after I placed by order and is no where near the estimated 4-6 weeks like I was promised. The whole reason I decided to take the plan was because I was promised by the Vodafone employee 4-6 weeks as I am going on holiday on the 1st of December for 6 weeks! And needed the phone for obvious reasons. So I decided to go back to Vodafone to ask why my phone was going to take so long to be delivered. They told me that their employee had read the wrong shipping date for my phone and they cannot do anything about the date. Absolutely ridiculous, I don't see how they employee could of read the wrong shipping date after I specifically asked him how long the phone was going to take; was he only saying this to try and get more sales? For his benefits? Cannot believe this appalling service and I will not be a returning customer after my plan has expired!",1
Disgusting Vodafone,Vodafone is Terrible as I am a 6 years customer and want to change provider and they are charging me $100 for 2 days. Disgusting service after 6 years with Vodafone.,1
"Terrible, scum, company","I applied for a service with vodafone and was declined!This company apparently declined me, not due to my credit rating but due to my credit score!They said even though I was approved of a car loan, i was overlooked for a mobile phone, due to the fact I had a low credit score.Also I declined other mobile services due to being too expensive and vodafone was cheaper for the same thing!No apologies made by them!If someine gets approved for a min $5000 car loan, surely a mobile phone is secondary!?Also this appeared on my credit score!!!Vodafone NO WAY!!",1
Rude and patronizing - Voda staffs.,"Rude and patronizing behaviour by a call centre staff in India, and a customer service staffin Hurstville NSW (before the downfall). Safe yourself time and energy. Go Optus.",1
The best,"I walk into Optus and there customer service was horrible, so horrible in fact I just walked out.  When I went to Vodafone I was approached with a very nice man who took me through my plan.  Go Vodafone",5
Vodafone customer care.,"Visited Vodafone Mawson lakes few days ago, Michelle was very supportive and caring. Provided details of every possible plan to choose from. great experience.",5
Cheap Plan. Bad Coverage.,"The coverage is good in urban areas. It does not cover mountain or rural areas as I went on a road trip with my friend. We received no reception at all, which did cause some trouble for us to find our way to the destination.I will recommend vodafone service to those who need a cheap plan, make international calls and rarely travel.",3
Worst customer service,I ordered a new phone but so called customer service people didn't know the colour of the phone putting order wrong at least 3 times and then on that adding 2000$ on my account so i ended up cancelling my order. Have to call them again and again to fix things and still waiting the bills after 6 weeks. Dishonest and worthless service i ever received.,1
Vodafone are crap,Vodafone take your money and supply you with dodgy service. I was on a $100 a month plan with 12 gig of data i went ovet every month (according to vodafone) and was chaged around $30 to $70 on top of my $100 a month plan. I switched to optus and only have 3 gig a month i use my phone exactly how i did when i was with vodafone and strangely enough i have never used more tha 3 gig. The customer service people are rude and incompatent on 3 occassions i called to cancel my plan and i was told it had been canceled but i would still recieve bills when i rang to ask them why i was still being billed they said i was using their service after i was told it had been cancelled. When itold them i rang up to cancel they said there were no notes in the system and they could not help me and i would have to pay the bill. If you want to get ripped off use vodafone.,1
Perfect Plan For Me,"I have been with Vofafone for many years and they have supplied me with the perfect plan for me, I don't use my phone much ( Nokia 6300 ) so the plan that I have been on is where I have to spend $5 per year to keep it active, and yes their coverage isn't quite the best, but that seems to be improving with time... as a customer of Vodafone I am and have been very satisfied!!! Great value for money in my oppinion!",5
Perfect Plan For Me,"Hey again, getting close to the end of 2018 and I am still on the same plan, I have a slightly better mobile phone now iPhone S4, as the 2G network has ended, still very happy, and have no thoughts of changing or upgrading to another plan, my last bill was under $5 over two months, I have better make some calls to get over the $5 to keep my plan active... Thanks Vodafone...!",5
Bad signal still expesnsive,I got samsung 6 edge foe $96 plan. I have poor signal at home ashfield. Customer service would say its a technical issue its getting repaired. After 2-3 months when i called again with same problem. They would say we cant see any issues. They dont listen to customers they think they are right. After six months now i moved to pottspoint in sidney city. Terrible network in the apartment. Sick of calling vodafone. Worst network. I would have surely changed my network if was not in the plan.Please do not take Vodafone even if you are in the cities of Australia,1
"Liar and Dishonest company, says something and do another...","Network is average drops sometimes, company always misleads customers on their quota and credits you will be surprised if you see their promise and actual credit you getting.",1
Pathetic,"Worst customer service, i got a phone with my contract that didnt work properly and took it back within 28 days, they said they fixed it and it should be fine. I then returned a week later with the same issue and they said sorry its been longer than 28 days of purchase and theres nothing we can do. I told them i came within 28 days with the same issue and they said sorry if it was an issue it should of been rectified then and there. so now im stuck with a phone that doesnt work",1
"Worst customer service, biggest liar","I upgraded my old plane to the new IPhone 7plus 1 month ago, my husband negotiated the price for me to $102 (original price was $108) as Iâ€™m a long stay customer in Vodafone.  I waited for more than 4 weeks and called up today to check where is my new phone, and was been told my order has been cancelled. And the sales told me he will give a compensation to a discount price of my bill which is $102/pm because of the mistake, and I said fine as I totally forgot the deal I made 1 month ago(was already $102). After I realized the mistake I called back and was been told thatâ€™s the new contact I signed up, they canâ€™t do anything about it. Basically they tricked me into a new contact with the same price and asked me to wait for another 4-6 weeks for nothing. 
Vodafone has pool customer service and terrible coverage, not worth to stay with them at all.",1
Worst Customer Care,"Worst customer care!!! I have been with Vodafone for longtime (appr 14 years), I have three number on post paid with them. My last two years plan is $40.00 plan, which plan included $400.00 value Standard AU and International Talk & Text dan 500 MB data. Mainly used for international calls and had around 150 minutes for the country I mainly called. My first numberâ€˜s plan will end in December 16, I approached their CS discussing to upgrade my phone with the same plan. They said I can upgrade the handset but can not keep my existing $40.00 plan, I have to sign with a new $40.00 plan plus handset installment, where the inclusion only Standard AU talk/text and 1 GB data NO international Talk. I gave them a comparison from their competitor with the same handset and same plan $40.00 + $0 Upfront the plan inclusion Unlimited Standard National Calls & Text $50 Standard Intâ€™l Calls & Text 1gb Total Data 500MB + 500MB bonus. Vodafone is $7 more expensive. They could not even MATCH the plans of other providers. So I decided to move all my number to other provider.
The company really knows how to fool people and make money. They wonâ€™t look after you, no matter how long youâ€™ve been with them. 

See you Vodafone; you are not the only one in the market!!!!",2
Vodafone live to rip customers off!!,I ordered my iPhone 7 plus and it took a month to get in and while I was waiting for it to arrive Vodafone was charging me for a product I didn't even have yet. They were making me pay for the iPhone when I didn't even receive it yet!!! So if you upgrade to an iPhone and it takes 3 months to get in you'll be paying for that new phone you didn't even get yet. Worst phone company.,1
Changed phone provider,"After tpg went to Vodafone I decided to give them a try. No good, patchy coverage and constantly overcharging for I don't know what. I run out of data and I haven't changed how I use my phone. Aldi is fantastic value for money and they use the Telstra network.",1
Worst telecom provider and worst customer service,"Bought a data Sim at Sydney Airport for urgent use. Was told that it would be activated within 5 minutes. 2 hours later, still not activated. Customer service said might take up to 24 hours to activate. Called again after 7 hours as still not working. Customer service said might take 48 hours to activate. They have no idea. They sell data cards at airport and expect people can wait 24 or 48 hours before they can use them? Which century are Vodafone living in. Their service desks in India have standard answers which are totally unhelpful. Absolutely a waste of money and time.  Please don't use this network if you want good reliable service.",1
Poor customer service-need training!,"Hi,

Unfortunately, he never call me back. I did try to call him direct line more than 4 times on the same day since morning 10 am but he also never returned any of my call.


I did try to call and left message again today but still no luck!


i did email them to complain and Trish the manager also not helping!! as she confirmed thatr Tim is not in today and my order is being follow up and asked what i want to do? as there is nothing for them to do now and she believe that Tim assume its all good!!! eventhough i did try to left message couple times!


honestly, vodafone----stop using risk insure as they only employ lazy people and unprofessional

seriously, not happy with vodafone especially the insurance company!


after my contract finished, i will use OPTUS and I hope they don't use Risk Insure for the partner",1
"Terrible Network, Poor Customer service, no Technical knowledge to technicians","Terrible, could not get network in most of places during my vacation. No solutions from vodafone for technical issues.",1
Terrible network never use it or you will regret for whole life like me,"Terrible service, terrible network, I recommend never ever take Vodafone in you life. Worst decision by me to taking it as my mobile network. People are rude, charge you extra without reason. And take you for 24 months of trouble an extra charges. Just switch off phone and never use data services.",1
Horrible,I should be paying my full payment of more than 600 bec I need to go back overseas for 3 months bec its emergency but i can't pay at the shop. And they told me that they will email me where to pay. But they didn't email me for 3 months. When i come back i got a lot of notice and send my papers to adr. And now i need to pay 1069 aud.  This is not fair.,1
Scam. Dodgy. Rude,"I signed up for a mobile plan $95 few months ago. I was told that I can downgrade to any other plan any time.Plan includes $15 for a mobile as well. After two months the mobile dropped and ended up with cracked screen.Went to Vodafone shop to get it repaired. They said its not insured so they can't do anything. I said ok, since mobile cost is only $15/month so give me another mobile then. They said 'NEVER POSSIBLE'. I said, ok downgrade me to some other plan, so that I can buy another phone. They said you can only 'UPGRADE'.What the hell. Let me tell you, there are no vodafone signals at my place and I live in Bankstown.I hope vodafone is never gonna succeed with this attitude and soon be kicked out of Australia.",1
Outrageous,I had Vodafone prepaid 4 years only this morning I remembered I needed to recharge only 2 find out I lost 17g as I didn't recharge in the time. I rang Vodafone sitting on the phone forever & then get told they wouldn't credit back my data . I wouldn't recommend this phone company 2 anyone .. If it was 7g I wouldn't have minded but 17g & not one bit of compassion but no u r not getting it back .. So I'm getting it out there that I wouldn't use them EVER AGAIN,1
"Good service, long waits on hold","Overall happy with Vodafone's service and coverage, but I always have to wait on hold when I call CS. Customer Service is always helpful though when I do get through",4
Cant wait for my contract to finish to move elsewhere,"The network coverage is average, drops out near my workplace.I have a post-paid plan of $70 /mnth with 3 GB of internet which now have about 8 GB of data, but I cannot change to that because it will start a new contract. They keep adding data on to my plan and everytime I call, they say we send you sms which are never accurate (I have all the messages saved).There is no way to stop the internet access once the data allowance is reached",1
Vodafone online chat - excellent service,"I got in touch with online chat to upgrade my phone and plan. Thanks very much to Deepa, who helped me find what I needed much more easily than I could do online, instore or by phone.Very patient, courteous and helpful.",5
Waste of time,"Called up prior to going into an actual store to know I wouldn't be wasting my time, got there and was told completely different information to what I was told over the phone. Representative said ""who knows who you talked to, they don't have access to our system."" Does that mean calling up the vodafone company itself is pointless? If they ""indeed"" didn't have access to the system what is the point of having the option to call up and how is it that they can look up the very information you can? Representative treated me as if I was the stupid one, I had to explain my issue several times for her to understand me. Called up again straight after I left the store to clarify the information with a 'third' representative, he put me on hold to then have accidentally hung up on me instead. Called back and blamed the 'reception.' Left a very unhappy customer, have been with vodafone for many many years as my whole family is with vodafone. They have decent plans and it's easy since we can call voda to voda free. Decent reception majority of the time but in some areas I get no reception. Recently the reception quality has been declining. Time to change companies for sure. Customer service is great with some but appalling with others. Usually all it takes is one bad service rep to ruin your whole experience. Consider wisely when choosing this company.",1
Worst services ever,"One of the worst services ever. Was sent to 5 different vodafone outlets because my phone has been playing up. Been running around from 12pm and around 4 pm one of the staffs tells me to get letter from Samsung  (the phone i use ). I didnt have time for that as m running late for work now. So i have been running around for 4 hours, no solution given and with a phone thats not working. So am i supposed to keep my unresponsive phone. How am i supposed to work now ?Well done vodafone , simply well done !!",1
Vodafone network,Called customer service but not good response.Deciding to leave vodafone.Retention team also acknowledge problem but said only 7 calls drop.Any one have a better option.,1
New Vodafone Plan,"Vodafone has been really bad customer service to me. I have been with them for 4 years now and I always wanted the international calls in my plan as I call Sri Lanka often. But they have taken Sri Lanka off!! Really? over the past years I would just go to the store and would let them know that I want to proceed with a plan similar to my old plan with the new phone. with Vodafone I got a bill of $122 and was very unhappy and called then and then they explain to me that Sri Lanka is not included anymore.I asked them pay the amount due and leave their service for a different service provider and they tell me I have to pay $2000 to leave them. What a joke??

The customer service is the worst. I would recommend anyone to proceed with Virgin mobile. My friends have got very good deals. I have no option but to stay with vodafone now. But I am very unhappy",1
Extremely unprofessional staff pathetic customer service,"I wanted to change my plan to a casual month to month after completion of my 2 year contract. It took four attempts to resolve such a simple request. Every representative was providing misleading information. Being suspicious, on one of the calls I asked for their Employee ID for reference and she said she could not provide me anything other than her name. So I asked if it was her opinion or its Vodafone policy. She said she could not comment. Obviously they are scared of accountability and therefore do not want us to have a trace. Upon probing further she said I was being ridiculous and hung up the phone. I must mention that I was persistent but extremely cordial in my approach. I filled out a survey voicing my concerns and was never approached by anyone.

I have received worst customer service, only once in life, and that was  ""where else"" at one of Vodafone outlets. Very unprofessional and untrained staff.  I will advice everyone to stay miles away form this very shady company where transparency is just a word that means nothing.",1
Vodafone is by far the best,"We've been with Vodafone for the past Six Years with no problems, we've had both prepaid and postpaid with no problems, Their the best Telco, We have had dealings with, There is always going to be wingers no matter what.",5
Over charged! And terrible service,"In the past 2 weeks I have called Vodafone with an issue involving being over charged, first they made up a charge then said the charge was invalid now still after 2 weeks they have not fixed the issue! Terrible service! Never again! I also advise others to rethink there service providers!",1
